image_id,count,overlay
P8164362,109,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164362_det.png
P8164363,32,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164363_det.png
P8164364,84,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164364_det.png
P8164365,48,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164365_det.png
P8164366,131,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164366_det.png
P8164367,10,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164367_det.png
P8164368,108,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164368_det.png
P8164369,3,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/P8164369_det.png
Q6165637,1,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165637_det.png
Q6165638,40,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165638_det.png
Q6165639,64,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165639_det.png
Q6165640,2,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165640_det.png
Q6165641,10,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165641_det.png
Q6165642,53,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165642_det.png
Q6165643,53,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165643_det.png
Q6165644,3,/Users/mayapowell/Documents/sym_counting_oki/all_image_detections_example/Q6165644_det.png
