image_id,count,overlay
P8164364,49,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8164364_det.png
P8164365,22,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8164365_det.png
P8164377,47,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8164377_det.png
P8164378,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8164378_det.png
P8174412,38,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174412_det.png
P8174413,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174413_det.png
P8174421,35,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174421_det.png
P8174422,7,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174422_det.png
P8174451,70,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174451_det.png
P8174452,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174452_det.png
P8174488,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174488_det.png
P8174489,13,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174489_det.png
P8174503,12,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174503_det.png
P8174504,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174504_det.png
P8174523,13,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174523_det.png
P8174524,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174524_det.png
P8174553,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174553_det.png
P8174554,22,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174554_det.png
P8174564,61,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174564_det.png
P8174565,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174565_det.png
P8174584,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174584_det.png
P8174585,42,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174585_det.png
P8174601,11,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174601_det.png
P8174602,25,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174602_det.png
P8174625,82,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174625_det.png
P8174626,41,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174626_det.png
P8174640,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174640_det.png
P8174641,47,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174641_det.png
P8174659,42,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174659_det.png
P8174660,6,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174660_det.png
P8174675,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174675_det.png
P8174676,6,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174676_det.png
P8174727,5,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174727_det.png
P8174728,40,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174728_det.png
P8174746,26,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174746_det.png
P8174747,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174747_det.png
P8174755,65,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174755_det.png
P8174756,8,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174756_det.png
P8174772,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174772_det.png
P8174773,82,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174773_det.png
P8174781,30,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174781_det.png
P8174782,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174782_det.png
P8174815,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174815_det.png
P8174816,74,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174816_det.png
P8174837,38,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174837_det.png
P8174838,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174838_det.png
P8174870,12,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174870_det.png
P8174871,5,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174871_det.png
P8174885,130,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174885_det.png
P8174886,54,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174886_det.png
P8174902,38,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174902_det.png
P8174903,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174903_det.png
P8174922,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174922_det.png
P8174923,123,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174923_det.png
P8174935,16,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174935_det.png
P8174936,76,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8174936_det.png
P8184963,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8184963_det.png
P8184964,137,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8184964_det.png
P8184997,55,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8184997_det.png
P8184998,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8184998_det.png
P8185015,35,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185015_det.png
P8185016,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185016_det.png
P8185030,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185030_det.png
P8185031,37,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185031_det.png
P8185056,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185056_det.png
P8185057,71,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185057_det.png
P8185062,65,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185062_det.png
P8185063,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185063_det.png
P8185091,5,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185091_det.png
P8185092,83,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185092_det.png
P8185093,75,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185093_det.png
P8185094,10,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185094_det.png
P8185117,4,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185117_det.png
P8185118,69,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185118_det.png
P8185138,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185138_det.png
P8185139,131,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185139_det.png
P8185164,0,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185164_det.png
P8185165,32,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185165_det.png
P8185201,39,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185201_det.png
P8185202,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185202_det.png
P8185212,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185212_det.png
P8185213,16,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185213_det.png
P8185270,89,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185270_det.png
P8185271,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/P8185271_det.png
Q6165469,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165469_det.png
Q6165470,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165470_det.png
Q6165497,1,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165497_det.png
Q6165498,50,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165498_det.png
Q6165509,9,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165509_det.png
Q6165510,23,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165510_det.png
Q6165529,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165529_det.png
Q6165530,53,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165530_det.png
Q6165547,94,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165547_det.png
Q6165548,14,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165548_det.png
Q6165565,25,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165565_det.png
Q6165566,31,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165566_det.png
Q6165577,5,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165577_det.png
Q6165578,32,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165578_det.png
Q6165597,3,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165597_det.png
Q6165598,16,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165598_det.png
Q6165615,15,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165615_det.png
Q6165616,2,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165616_det.png
Q6165635,42,/Users/mayapowell/Documents/sym_counting_oki/detections_y8s_e100_b16_1280_2Sept2026/Q6165635_det.png
