epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.487,2.44789,3.6887,0.88097,0.61999,0.65884,0.62477,0.21452,2.24609,3.24267,0.84542,0.00056,0.00056,0.00056
2,729.926,2.23934,2.36555,0.83027,0.2704,0.67531,0.23487,0.08707,2.12575,23.9851,0.82159,0.00112871,0.00112871,0.00112871
3,1108.56,2.25453,2.4776,0.8523,0.56136,0.69441,0.52895,0.172,2.24733,3.1219,0.85634,0.00168594,0.00168594,0.00168594
4,1521.88,2.19657,1.95843,0.83286,0.65276,0.71936,0.66057,0.22147,2.17152,2.17203,0.82938,0.0019406,0.0019406,0.0019406
5,1894.76,2.16057,1.43193,0.82068,0.73417,0.71692,0.72291,0.25438,2.09106,1.45161,0.81846,0.0019208,0.0019208,0.0019208
6,2239.63,2.11261,1.58708,0.82013,0.72444,0.68417,0.69975,0.24944,2.08444,1.45555,0.81461,0.001901,0.001901,0.001901
7,2596.81,2.0995,1.27288,0.81507,0.7877,0.75853,0.76748,0.26086,2.14386,1.75252,0.8134,0.0018812,0.0018812,0.0018812
8,2969.84,2.09917,1.29393,0.81789,0.71941,0.73261,0.69955,0.23864,2.09872,1.32972,0.81391,0.0018614,0.0018614,0.0018614
9,3391.71,2.09935,1.25827,0.81597,0.72479,0.72988,0.70011,0.24861,2.05609,1.24194,0.81142,0.0018416,0.0018416,0.0018416
10,3786.68,2.16895,1.20276,0.82711,0.74387,0.72169,0.71481,0.26066,2.04995,1.21879,0.80821,0.0018218,0.0018218,0.0018218
11,4150.49,2.10282,1.34548,0.82294,0.74946,0.73602,0.73562,0.26264,2.09964,1.3815,0.81167,0.001802,0.001802,0.001802
12,4495.28,2.17156,1.32447,0.82898,0.70304,0.71214,0.69631,0.2405,2.19925,1.25884,0.82785,0.0017822,0.0017822,0.0017822
13,4847.55,2.10011,1.2329,0.82101,0.77225,0.75716,0.75961,0.278,2.01575,1.16327,0.80851,0.0017624,0.0017624,0.0017624
14,5255.21,2.0998,1.25228,0.81707,0.76457,0.7244,0.70445,0.25029,2.0258,1.23009,0.8067,0.0017426,0.0017426,0.0017426
15,5648.24,2.12275,1.33553,0.82599,0.78254,0.76194,0.74583,0.26959,1.98594,1.15476,0.80549,0.0017228,0.0017228,0.0017228
16,6062.38,2.07948,1.20524,0.8206,0.77739,0.79468,0.7782,0.27771,2.02297,1.20518,0.80563,0.001703,0.001703,0.001703
17,6477.17,2.07065,1.15516,0.82228,0.81118,0.78308,0.79003,0.29088,2.0167,1.11024,0.80597,0.0016832,0.0016832,0.0016832
