image,has_xml,pts_total,pts_used,subset,out_img,out_lbl
P8164364,True,101,101,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8164364.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8164364.txt
P8164365,True,56,56,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8164365.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8164365.txt
P8164377,True,53,53,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8164377.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8164377.txt
P8164378,True,15,15,val,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/val/P8164378.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/val/P8164378.txt
P8174412,True,54,54,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174412.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174412.txt
P8174413,True,3,3,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174413.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174413.txt
P8174421,True,36,36,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174421.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174421.txt
P8174422,True,20,20,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174422.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174422.txt
P8174451,True,92,92,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174451.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174451.txt
P8174452,True,3,3,train,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/images/train/P8174452.JPG,/Users/mayapowell/Documents/sym_counting_oki/yolo_data_b16/labels/train/P8174452.txt
